

Software Version	2.09.1



Experiment File Path:	C:\Users\Lippert Lab\Documents\LippertLab\Caleb\CMG1_210.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/28/2024
Time	4:18:21 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Start Kinetic	Runtime 2:00:00 (HH:MM:SS), Interval 0:01:00, 121 Reads
    Read	Luminescence Endpoint
	A1..F8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 135
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:31:00	24.3	35662	33860	31794	35423	41841	27516	89696	173034					32675	33048	33814	32497	34026	197133	187086	36405					36911	33790	35378	32707	39148	51265	96975	131038					36206	36644	34393	29325	25709	132288	191653	36210					37891	38325	36354	35276	30559	33750	78972	215132					37805	39410	36231	35028	30916	178334	263370	35475																												
0:32:00	24.4	34905	33385	31425	34602	41027	26742	87405	166720					32144	32597	32735	32000	33503	189505	181869	35697					36291	33432	34829	31951	38014	50259	94058	127279					35414	35585	33953	29007	25529	130032	185612	35463					36868	37821	35460	35156	30136	33196	77039	208517					37172	39067	35540	34414	30655	171555	256586	34689																												
0:33:00	24.4	34582	32857	30576	34200	39899	26385	85335	160663					31110	31458	32759	31168	32869	183073	178126	34961					35635	32656	34050	31602	37660	49387	91803	123821					34702	34932	32892	28344	25423	126134	179533	35076					36325	36779	35343	34445	30137	32591	74961	203437					36371	37948	34856	33808	30296	167079	250907	33839																												
0:34:00	24.4	33929	32081	30410	33661	39196	26040	83464	155899					30890	31165	31778	30840	32261	178642	173390	34279					35097	32374	33389	30871	37026	48073	89218	118630					34438	34679	32442	28285	25275	121589	173398	33963					35445	36289	34515	34128	29646	31798	72740	198230					35531	37175	34352	33554	29994	159597	242663	33430																												
0:35:00	24.4	33378	31565	30071	32758	38752	25415	80647	154017					30732	30589	31014	30105	31473	172736	167728	33735					34238	31440	32996	30677	36120	47182	87210	117631					33772	33718	31953	27987	25081	118177	170466	33478					34583	35578	33553	33422	29617	31393	71179	192785					34898	36345	33934	33041	29527	156320	234678	32649																												
0:36:00	24.4	32679	31072	29301	32286	37966	24744	78909	147248					30031	29925	30735	29414	30857	170969	164179	33282					33666	31223	32375	29966	35472	45735	85102	114516					33163	32976	31387	27329	25018	113449	164818	32894					34008	34583	33126	32756	28969	30678	69354	184974					34139	35697	32890	32677	29190	151066	230516	32215																												
0:37:00	24.4	32199	30281	29050	32027	36767	24229	76676	143845					29441	29574	29874	29199	30261	164683	157557	32995					33071	30394	31834	29005	34579	44626	83084	110096					32211	32420	30715	27087	24748	111701	161648	32471					33486	34327	32252	32363	28888	30140	67401	181024					33708	34968	32316	32023	28791	146316	225409	31601																												
0:38:00	24.5	31474	29948	28384	31173	35905	23889	74914	139814					28969	29029	29667	28443	29914	162606	155564	32135					32277	29971	31266	28599	33943	43451	80833	106959					31836	31648	30234	26695	24476	107574	157186	31428					32646	33426	31778	32157	28699	29515	65483	178460					32888	34076	31801	31477	28767	143158	218132	30850																												
0:39:00	24.5	30846	29214	27889	30723	35306	23305	72708	134753					28384	28228	28923	28022	29345	157787	149848	31629					31823	29617	30782	28084	33587	42242	78526	103989					31265	31155	29248	26564	24219	106310	152575	30794					32004	33061	31059	31933	28310	28981	63979	172164					32539	33567	30904	30911	28068	138910	214564	29989																												
0:40:00	24.5	30340	28765	27596	29916	34503	22885	71076	131765					27464	28030	28173	27542	28631	153811	147429	31252					31165	28776	30318	27408	32760	41350	76450	100966					30814	30501	28765	26097	24160	101732	148217	30290					31360	32646	30645	31157	28102	28702	62674	167991					31763	32477	30397	30532	28101	134240	207789	29799																												
0:41:00	24.5	29644	28059	27143	29202	33532	22623	69260	127521					27303	27183	27679	27058	28030	150717	141115	30443					30689	28464	29483	27000	31871	40570	74921	98105					30169	29798	28415	25696	23869	99129	144011	29856					30796	31648	29887	30297	27772	27737	60924	163458					30984	31883	29979	30077	27643	130137	203771	29179																												
0:42:00	24.5	29246	27608	26588	28885	33030	22294	67454	126558					26765	26634	27192	26061	27700	145668	138900	30045					30128	27869	28868	26405	31317	39735	72729	95186					29243	29351	27625	25179	23612	96095	140694	29009					29708	31073	29063	30087	27791	27504	59615	157312					30694	31370	29771	29615	27529	126052	196596	28416																												
0:43:00	24.5	28498	27123	26162	28339	32238	21775	65693	123601					26389	26435	26817	25938	27017	143566	133667	29757					29347	27443	28072	25839	30578	38729	70905	92913					28970	28288	27359	24925	23690	94062	137048	28551					29233	30413	28639	29457	27348	27011	57708	154651					30166	30555	28986	29068	27306	120801	192555	27927																												
0:44:00	24.6	28162	26870	25766	27969	31543	21494	63817	117623					25816	25856	26332	25346	26830	138045	130807	28899					28979	26707	27753	25362	29960	37875	69288	89666					28505	27884	26850	24544	23376	90676	133112	28008					28765	30070	28110	29226	27009	26443	56356	150679					29456	30079	28368	28752	26749	119751	188437	27384																												
